date,exteriorTemperature,interiorTemperature,targetTemperature,dT,weather,windDir,windSpeed,fanOn,heatOn,coolOn,dt,dQ
1/30/2017 22:18,42,66,66,24,Overcast,0,0,1,0,0,,1066.666667
1/30/2017 22:23,41,66,66,25,Overcast,0,0,1,0,0,4.583333326,0
1/30/2017 22:28,41,65.5,66,24.5,Overcast,0,0,1,0,0,5.533333338,0
1/30/2017 22:33,41,65.5,66,24.5,Overcast,0,0,1,0,0,4.649999997,0
1/30/2017 22:38,43,65,66,22,Overcast,0,0,1,0,0,4.816666672,0
1/30/2017 22:43,43,64.5,66,21.5,Overcast,0,0,1,0,0,4.999999995,0
1/30/2017 22:48,43,64.5,66,21.5,Overcast,0,0,1,0,0,5.333333333,0
1/30/2017 22:53,41,64,66,23,Overcast,0,0,1,1,0,4.666666668,4977.777779
1/30/2017 22:58,41,64.5,66,23.5,Overcast,0,0,1,1,0,5.000000006,5333.33334
1/30/2017 23:03,41,65,66,24,Overcast,0,0,1,1,0,5.249999991,5599.99999
1/30/2017 23:08,42,65.5,66,23.5,Overcast,0,0,1,1,0,4.916666674,5244.444452
1/30/2017 23:13,42,66,66,24,Overcast,0,0,1,0,0,4.833333332,0
1/30/2017 23:18,42,66,66,24,Overcast,0,0,1,0,0,4.999999995,0
1/30/2017 23:23,43,66,66,23,Overcast,260,3,1,0,0,5.000000006,0
1/30/2017 23:28,43,66,66,23,Overcast,260,3,1,0,0,5.250000001,0
1/30/2017 23:33,43,65.5,66,22.5,Overcast,260,3,1,0,0,4.916666663,0
1/30/2017 23:43,43,65,66,22,Overcast,0,0,1,0,0,9.833333337,0
1/30/2017 23:48,43,64.5,-1,21.5,Overcast,0,0,1,0,0,5.499999997,0
1/30/2017 23:53,43,64.5,66,21.5,Overcast,230,5,1,0,0,4.850000002,0
1/30/2017 23:58,43,64.5,66,21.5,Overcast,230,5,1,0,0,4.666666668,0
1/31/2017 0:03,43,64.5,66,21.5,Overcast,230,5,1,0,0,5.166666659,0
1/31/2017 0:08,41,64,66,23,Overcast,0,0,1,1,0,5.000000006,5333.33334
1/31/2017 0:13,41,64,66,23,Overcast,0,0,1,1,0,4.999999995,5333.333328
1/31/2017 0:18,41,65,66,24,Overcast,0,0,1,1,0,4.916666663,5244.444441
1/31/2017 0:23,41,65.5,66,24.5,Overcast,0,0,1,1,0,5.16666667,5511.111114
1/31/2017 0:28,41,65.5,66,24.5,Overcast,0,0,1,1,0,4.73333334,5048.888896
1/31/2017 0:33,41,66,66,25,Overcast,0,0,1,0,0,5.033333326,0
1/31/2017 0:38,41,66,66,25,Overcast,0,0,1,0,0,5.000000006,0
1/31/2017 0:43,41,66,66,25,Overcast,0,0,1,0,0,4.983333335,0
1/31/2017 0:48,41,66,66,25,Overcast,0,0,1,0,0,5.249999991,0
1/31/2017 0:53,41,65.5,66,24.5,Overcast,0,0,1,0,0,4.916666674,0
1/31/2017 0:58,41,65.5,66,24.5,Overcast,0,0,1,0,0,4.999999995,0
1/31/2017 1:03,41,65.5,66,24.5,Overcast,0,0,1,0,0,5.000000006,0
1/31/2017 1:08,41,65,66,24,Overcast,10,6,1,0,0,4.833333332,0
1/31/2017 1:13,41,65,66,24,Overcast,10,6,1,0,0,4.999999995,0
1/31/2017 1:18,41,65,66,24,Overcast,10,6,1,0,0,5.416666665,0
1/31/2017 1:23,41,64.5,66,23.5,Overcast,20,3,1,0,0,4.616666667,0
1/31/2017 1:28,41,64.5,66,23.5,Overcast,20,3,1,0,0,4.966666675,0
1/31/2017 1:33,41,64.5,66,23.5,Overcast,20,3,1,0,0,4.999999995,0
1/31/2017 1:38,41,64.5,66,23.5,Overcast,210,5,1,0,0,5.350000004,0
1/31/2017 1:43,41,64.5,66,23.5,Overcast,210,5,1,0,0,4.666666657,0
1/31/2017 1:48,41,64,66,23,Overcast,210,5,1,1,0,5.150000009,5493.333343
1/31/2017 1:53,41,65,66,24,Overcast,210,5,1,1,0,4.833333332,5155.555554
1/31/2017 1:58,41,65.5,66,24.5,Overcast,210,5,1,1,0,5.166666659,5511.111103
1/31/2017 2:03,41,66,66,25,Overcast,210,5,1,0,0,5.100000008,0
1/31/2017 2:08,42,66,66,24,Overcast,180,3,1,0,0,4.733333329,0
1/31/2017 2:13,42,66,66,24,Overcast,180,3,1,0,0,5.016666666,0
Average,41.59574468,65.17021277,dT,23.57446809,,,,,,,BTU added,64853.33335
,,,,,,,,,,,Total Minutes,234.6166667
